	title	subtitle	level	links
13	Systèmes monétaires	3. Monnaie, préférence temporelle, et investissements	Niveau 2	"{'Gigi (2018). Leçon #14 - Une monnaie saine dans 21 Leçons': 'https://btctouchpoint.com/fr/21-lecons-2eme-partie/', 'Michael Saylor (2023). You should be saving a lot more...you should shift your capital back to strong money . The Bitcoin Layer': 'https://twitter.com/Bitcoin200T/status/1626562269059645446?s=20', ""Yves Choueifaty (2022). Bitcoin: une thèse d'investissement - Surfin22"": 'https://www.youtube.com/watch?v=j6S68my_4rk', 'Yves Choueifaty (2022). Une MasterClass magistrale - GAC': 'https://www.youtube.com/watch?v=ZCDtQhop660', ""Saifedean Ammous (2022). L'étalon Bitcoin - résumé par P. Herlin"": 'https://btctouchpoint.com/fr/letalon-bitcoin-de-saifedean-ammous-resume/', ""Saifedean Ammous (2022). L'étalon Fiat - résumé par P. Herlin"": 'https://btctouchpoint.com/fr/letalon-fiat-de-saifedean-ammous-resume/', 'Croesus (2023). Valorisation du plein potentiel du bitcoin': 'https://btctouchpoint.com/fr/croesus-valorisation-du-plein-potentiel-du-bitcoin/', 'Jimmy Song (2022). The Fiat Reality Of Real Estate - Bitcoin Songsheet #16.': 'https://www.youtube.com/watch?v=0PQMchDRLW4'}"
14	Systèmes monétaires	3. Monnaie, préférence temporelle, et investissements	Niveau 3	{'Michael Saylor (2023). The 24 Risks of Equities with Michael Saylor. The Bitcoin Layer': 'https://www.youtube.com/watch?v=8cX1aptP5Io', 'Kuiper et Neureter (2022). Bitcoin First: Investors should consider Bitcoin different than other digital assets': 'https://www.fidelitydigitalassets.com/sites/default/files/documents/bitcoin-first.pdf'}
15	Systèmes monétaires	4. Bitcoin révolutionne la comptabilité	Niveau 1	{'Évolution des techniques de comptabilité et compta. en partie triple': 'https://btctouchpoint.com/fr/comptabilite/', 'Psylocibin Citadel (2023). Bitcoin\u202f\u202fis a digital accounting system backed by electricity that nobody can cheat, debase, or inflate': 'https://twitter.com/DecrimNat/status/1658191325307756544?s=20', 'Lawrence Lepard (2021). Bitcoin is More Sound Than Gold Due To Triple Entry Accounting': 'https://www.youtube.com/watch?v=I0R28DXrmb8'}
16	Systèmes monétaires	4. Bitcoin révolutionne la comptabilité	Évolution des techniques de comptabilité et compta. en partie triple	{'Darin Feinstein (2022). Bitcoin, The Greatest Money System. What Bitcoin Did': 'https://www.youtube.com/watch?v=MuysA_WzskM'}
17	Systèmes monétaires	4. Bitcoin révolutionne la comptabilité	Niveau 2	{'Robert Breedlove (2020). The Number Zero and Bitcoin': 'https://medium.com/@breedlove22/the-number-zero-and-bitcoin-4c193336db5b', 'Robert Breedlove (2020). Le chiffre zéro et Bitcoin': 'https://btctouchpoint.com/fr/le-chiffre-zero-et-bitcoin-1/', 'Pierre Rochard (2023). Fractional Reserve Carbon Accounting is an Attack on Bitcoin Mining. Bitcoin Magazine': 'https://bitcoinmagazine.com/culture/carbon-accounting-attacks-bitcoin-mining'}
18	Cycles historiques	1. La fin de la Fin de l'Histoire	Niveau 1	"{""La fin de la Fin de l'Histoire"": 'https://btctouchpoint.com/fr/la-fin-de-la-fin-de-lhistoire/#fin1'}"
19	Cycles historiques	1. La fin de la Fin de l'Histoire	Niveau 2	{'Alexandre Stachtchenko (2022). Bitcoin: nouvel enjeu géopolitique et économique majeur - SurfinBitcoin22': 'https://btctouchpoint.com/fr/la-fin-de-la-fin-de-lhistoire/#fin2', 'Michael Every (2023). En (La)Garde: ECB President Reveals What Happens Next. Zerohedge': 'https://www.zerohedge.com/markets/en-lagarde-ecb-president-reveals-what-happens-next', 'Nathalie Smolenski (2023). America’s Role in the New World Order. WBD': 'https://www.youtube.com/watch?v=7lXu7DNr3bs'}
20	Cycles historiques	2. Cycles d'endettement et Business cycles	Niveau 1	"{""Ray Dalio (2015). La mécanique de la machine économique en 30'"": 'https://btctouchpoint.com/fr/cycles-dendettement-et-business-cycles/', ""Un niveau d'endettement insoutenable"": 'https://btctouchpoint.com/fr/cycles-dendettement-et-business-cycles/#debt2', 'Mises Institute (2023). The essence of a credit-expansion boom is not overinvestment, but malinvestment.': 'https://twitter.com/mises/status/1628503195759570945?s=20'}"
21	Cycles historiques	2. Cycles d'endettement et Business cycles	Niveau 2	"{""Ray Dalio (2022). Principes pour faire face à l'évolution de l'ordre mondial"": 'https://btctouchpoint.com/fr/cycles-dendettement-et-business-cycles/#debt3', 'Luke Mikic (2023). Will the US Empire collapse the same the Roman Empire did? Gradually then suddenly': 'https://twitter.com/LukeMikic21/status/1650885743617687554', 'Parker Lewis (2023). Dissecting the Banking Crisis. TFTC': 'https://www.youtube.com/watch?v=t_T6GUV4bNE'}"
22	Cycles historiques	2. Cycles d'endettement et Business cycles	Niveau 3	"{'Murray Rothbard (1969). Les dépressions économiques : causes et remèdes': 'https://btctouchpoint.com/fr/cycles-dendettement-et-business-cycles/#debt4', ""Théo Mogenet (2022). Les cycles économiques pour l'école autrichienne. Découvre Bitcoin ECON201"": 'https://btctouchpoint.com/fr/cycles-dendettement-et-business-cycles/#debt5', ""James Lavish (2023). It's time for debt"": 'https://twitter.com/jameslavish/status/1636104435171737602'}"
23	Cycles historiques	3. Cycles politiques, institutionnels et culturels	Niveau 1	{'Howe & Strauss (2000) - Le quatrième tournant': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#4th1', 'Dale Davidson et Rees-Mogg (1997) The Sovereign Individual': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#sov1', '21MillionTV (2022). A 1997 Prophecy: The Sovereign Individual': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#sov2'}
24	Cycles historiques	3. Cycles politiques, institutionnels et culturels	Niveau 2	"{""Neil Howe (2017) The 4th Turning: Why American 'Crisis' May Last Until 2030"": 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#4th2', 'Neil Howe (2023). 1-on-1 w/D. DiMartino Booth': 'https://www.youtube.com/watch?v=SeBgUVM0yBQ', 'Brandon Quittem (2020) Bitcoin & the Rhythms of History. Analyse': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#4th3', 'Brandon Quittem (2020) Bitcoin & the Rhythms of History. w/ R. Breedlove': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#4th3', 'James Davidson (2022). Bitcoin and The Sovereign Individual. WiM': 'https://btctouchpoint.com/fr/cycles-politiques-institutionnels-et-culturels/#sov3', 'Marty Bent (2023). This feels like the endgame': 'https://tftc.io/martys-bent/issue-1340/'}"
25	Cycles historiques	4. Cycles d'innovations technologiques	Niveau 1	"{'Les cycles de Kondratiev': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques', 'Progression exponentielle': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques/#expon', ""Andreas Antonopoulos (2016). Inversion d'infrastructure"": 'https://btctouchpoint.com/fr/inversion-dinfrastructure-extrait/'}"
26	Cycles historiques	4. Cycles d'innovations technologiques	Niveau 2	{'Un système monétaire incompatible avec le progrès technologique': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques/#booth', 'Jeff Booth (2022). Le Prix de Demain': 'https://btctouchpoint.com/fr/le-prix-de-demain-introduction/', 'Jeff Booth (2022).Why Deflation is Key to an Abundant Future': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques/#jeffbooth', 'Jeff Booth (2022). Inflation - Deflation - Which One Is It?': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques/#jeffbooth', 'En savoir un peu plus sur les cycles de Kondratiev': 'https://btctouchpoint.com/fr/cycles-dinnovations-technologiques/#kcycles2'}
27	Changement de paradigme	1. Percées scientifique et technologique	Niveau 1	"{'Tomer Strolight (2020). 2. Pourquoi Bitcoin ne ressemble à rien de ce que vous avez déjà vu ?': 'https://btctouchpoint.com/fr/2-pourquoi-bitcoin-ne-ressemble-a-rien-de-ce-que-vous-avez-deja-vu/', ""Strolight (2020). 23 Pourquoi le bitcoin est bien plus que de l'argent ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-23-pourquoi-le-bitcoin-est-bien-plus-que-de-largent/', ""E. Schmidt, ex-CEO de Google, souligne l'accomplissement que Bitcoin - la découverte de la rareté numérique - constitue"": 'https://btctouchpoint.com/wp-content/uploads/2022/12/Former-Google-CEO-Eric-Schmidt-explains-that-bitcoin-is-a-remarkable-cryptographic-achievement-.mp4', 'Strolight (2020). 16. Pourquoi Bitcoin change le monde ?': 'https://btctouchpoint.com/pourquoi-bitcoin-16-pourquoi-le-bitcoin-change-le-monde/', 'A. Antonopoulos (2014). Innovateurs, disrupteurs, marginaux et Bitcoin': 'https://btctouchpoint.com/fr/innovateurs-disrupteurs-marginaux-et-bitcoin/'}"
28	Changement de paradigme	1. Percées scientifique et technologique	Niveau 2	{'The Great Resistance - The Story of Bitcoin': 'https://btctouchpoint.com/wp-content/uploads/2022/12/The-Great-Resistance-The-Story-of-Bitcoin-by-@tip_nz.mp4', 'La préhistoire de Bitcoin: illustration\xa0 EN  FR (Découvre Bitcoin)': 'https://btctouchpoint.com/wp-content/uploads/2022/12/Prehistory-of-bitcoin.jpg', 'La préhistoire de Bitcoin - Bitcoin 101 - Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=ljHLhTzrLsw', 'Les grandes dates de Bitcoin. Bitcoin.fr': 'https://bitcoin.fr/histoire/', 'Yorick de Mombynes (2020). My 99 favorite quotes from “How Innovation Works” by Matt Ridley': 'https://yorickdem.medium.com/my-99-favorite-quotes-from-how-innovation-works-by-matt-ridley-3c263ecd912e'}
29	Changement de paradigme	1. Percées scientifique et technologique	Niveau 3	{'Bitcoin Prequel (1): The Legend of Public Keys in the 1970s': 'https://coinyuppie.com/bitcoin-prequel-1-the-legend-of-public-keys-in-the-1970s/', 'Bitcoin Prequel (2): The Origin of Decentralization': 'https://coinyuppie.com/bitcoin-prequel-2-the-origin-of-decentralization/', 'Bitcoin Prequel (3): Crypto Wars in the 90s': 'https://coinyuppie.com/bitcoin-prequel-3-crypto-wars-in-the-90s/'}
30	Changement de paradigme	2. Changement de paradigme	Niveau 1	"{""Tomer Strolight (2020). Pourquoi Bitcoin ? 23. Pourquoi Bitcoin est bien plus que de l'argent ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-23-pourquoi-le-bitcoin-est-bien-plus-que-de-largent/', 'Anil (2022). Changement de paradigmes': 'https://www.youtube.com/watch?v=knHmXzW2LQM', ""Anil (2022). Bitcoin et l'imprimerie (version courte)"": 'https://www.youtube.com/watch?v=25yfsPIegmo', 'Croesus (2021). The Digital Revolution has two parts': 'https://twitter.com/Croesus_BTC/status/1358867488021307397', 'Jeff Booth (2023). It will be much more impactful than the Internet. The Bitcoin Matrix': 'https://twitter.com/CedYoungelman/status/1612934012225597441'}"
31	Changement de paradigme	2. Changement de paradigme	Niveau 2	"{""Anil (2022). Bitcoin et l'imprimerie (in extenso)"": 'https://btctouchpoint.com/fr/bitcoin-et-limprimerie/', 'Tuur Demeester (2019). La Réforme Bitcoin': 'https://btctouchpoint.com/fr/la-reforme-bitcoin/', 'Thomas Mang (2022). Parallèles qualitatifs et quantitatif entre Bitcoin et le protestantisme': 'https://bitcoin.fr/paralleles-qualitatifs-et-quantitatif-entre-le-bitcoin-et-le-protestantisme/', 'Michael Saylor (2022). Synopsis de la série ""Saylor"" - WiM R. Breedlove': 'https://btctouchpoint.com/fr/synopsis-de-la-serie-saylor-transcript-du-podcast-what-is-money-de-robert-breedlove/', 'Michael Saylor (2022). Keynote Speech at The 2022 Atlas Society Gala': 'https://www.youtube.com/watch?v=ZcjFrIMw2sI', 'Matt Hornick and Tomer Strolight (2022). Bitcoin is Generational Wealth': 'https://www.youtube.com/watch?v=3Rnqst5qCgA', 'CK_Snarks (2023). No one is bullish enough on Bitcoin. The Bitcoin Matrix': 'https://twitter.com/_BitcoinMatrix/status/1655381006751346688'}"
32	Changement de paradigme	2. Changement de paradigme	Niveau 3	{'Robert Breedlove (2020). Our most brilliant idea': 'https://breedlove22.medium.com/our-most-brilliant-idea-aced329f8941', 'Robert Breedlove (2020). Le chiffre zéro et Bitcoin': 'https://btctouchpoint.com/fr/le-chiffre-zero-et-bitcoin-1/', 'Robert Breedlove (2020). The Number Zero and Bitcoin': 'https://breedlove22.medium.com/the-number-zero-and-bitcoin-4c193336db5b', 'Thomas Mang (2022). Esquisse historionomique de Bitcoin par analogie au protestantisme': 'https://bitcoin.fr/esquisse-historionomique-bitcoin-par-analogie-au-protestantisme/', 'Meme Factory (2023). Hello. I Am Bitcoin. Based on a text from Tomer Strolight': 'https://www.youtube.com/watch?v=-NVUQILq1pA'}
33	Changement de paradigme	3. Résistance au changement	Niveau 1	"{'Yves Choueifaty (2022)- ""Bitcoin : Une thèse d\'investissement"" - Extrait choisi - SurfinBitcoin22': 'https://btctouchpoint.com/wp-content/uploads/2022/11/Aux-racines-du-FUD-Yves-Choueifaty.mp4', 'A. Antonopoulos (2014). Innovateurs, disrupteurs, marginaux, Bitcoin': 'https://btctouchpoint.com/fr/innovateurs-disrupteurs-marginaux-et-bitcoin/', ""Andréas Antonopoulos (2016). Inversion d'infrastucture"": 'https://btctouchpoint.com/fr/inversion-dinfrastructure-extrait/', 'Croesus (2022) For the vast majority of people bitcoin is not just a financial risk, but a psychological and emotional risk.': 'https://twitter.com/Bitcoin200T/status/1587214565304999936?s=20&t=hg0k5AzOqZGaE38rPVnTRg', 'Tomer Strolight (2020). 19. Pourquoi il ne faut pas avoir peur du bitcoin ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-19-pourquoi-il-ne-faut-pas-avoir-peur-du-bitcoin/'}"
34	Changement de paradigme	3. Résistance au changement	Niveau 2	"{'Yorick de Mombynes (2021). La monnaie ouverte et ses ennemis.': 'https://www.contrepoints.org/2022/01/25/419709-la-monnaie-ouverte-et-ses-ennemis-bitcoin', 'Yorick de Mombynes et Gonzague Grandval (2018). La bulle des arguments anti-bitcoin. La Tribune': 'https://www.latribune.fr/opinions/tribunes/la-bulle-des-arguments-anti-bitcoin-764804.html', ""Croesus (2020). Pourquoi l'élite yuppie méprise Bitcoin"": 'https://btctouchpoint.com/fr/croesus-pourquoi-lelite-yuppie-meprise-bitcoin/', 'Croesus (2021) The Bitcoin Adoption Curve w/ Croesus. Preston Pysh podcast': 'https://www.youtube.com/watch?v=7_sr2hS5KlQ'}"
35	Changement de paradigme	4. Bitcoin est la nouvelle frontière	Niveau 1	{'Tomer Strolight (2020). 25 Pourquoi Bitcoin est la nouvelle frontière ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-25-pourquoi-le-bitcoin-est-la-nouvelle-frontiere/'}
36	Changement de paradigme	4. Bitcoin est la nouvelle frontière	Niveau 2	{'Croesus (2020). Bitcoin And The American West': 'https://www.citadel21.com/bitcoin-and-the-american-west', 'Michael Saylor (2022). Bitcoin, Inflation, the Future of Money. Lex Fridman': 'https://www.youtube.com/watch?v=mC43pZkpTec', 'Michael Saylor (2022). Saylor Explains Bitcoin. Tucker Carlson Today': 'https://www.youtube.com/watch?v=wdJFeSY8UVk', 'Bansals, FractalEncrypt, and Strolight (2022). The Timechain Codex': 'https://btctouchpoint.com/fr/the-timechain-codex/'}
