	title	subtitle	level	links
10	Contre-culture	2. Bitcoin maximalisme	Niveau 1	"{'Grittoshi (2022). La voie du maximalisme Bitcoin': 'https://twitter.com/Grittoshi/status/1596765544342257664', 'Yves Bennaïm (2023). Le concept des ""méchants maxis"" - un pense-bête': 'https://twitter.com/ZLOK/status/1668156232073375745?s=20', 'CryptoJon (2022). La Théorie Maximaliste De Bitcoin': 'https://www.youtube.com/watch?v=IrL_4bsU1I4', ""AmericanHODL (2023). C'est un acte révolutionnaire de se respecter réellement."": 'https://twitter.com/Grittoshi/status/1668132269800968192', 'Ronin (2023). Can you prove you’re a #Bitcoin maximalist Anon?': 'https://twitter.com/ronin21btc/status/1652199616685699072', ""Michael Saylor (2023). If you think Bitcoin is an ethical imperative, you're a bitcoin maximalist"": 'https://twitter.com/Jacques_BTC/status/1668174094045462531?s=20', 'Tuur Demeester (2023). A bitcoiner takes the slur you hurl at him and wears it like armor.': 'https://twitter.com/TuurDemeester/status/1660360534967869446', 'Découvre Bitcoin (2022). Explorons Bitcoin N°2: Les Bitcoiners ""maximalistes""': 'https://www.youtube.com/watch?v=y4ysUro7WtI&t=12s', 'Cory Klippsten (2020).\xa0 Ten Million Bitcoiners: The Intransigent Minority': 'https://www.swanbitcoin.com/ten-million-bitcoiners-the-intransigent-minority/'}"
11	Contre-culture	2. Bitcoin maximalisme	Niveau 2	{'Pete Rizzo (2021).\xa0 How To Be A Bitcoin Maximalist. Forbes': 'https://www.forbes.com/sites/peterizzo/2022/08/25/how-to-be-a-bitcoin-maximalist/?sh=184f727f7036', 'John Carvalho (2022). Explaining Bitcoin Maximalism in a way that shitcoiners might understand': 'https://twitter.com/BitcoinErrorLog/status/1556719255940481024?s=20&t=nbH528vloGVpvJHkKEJEjw', 'Aleksandar Svetski (2020).\xa0 What it takes to be a Bitcoiner': 'https://medium.com/the-capital/what-it-takes-to-be-a-bitcoiner-607c08d171f2', 'Tomer Strolight (2021). Les Bitcoiners ne sont pas toxiques : ils sont intègres': 'https://btctouchpoint.com/fr/les-bitcoiners-ne-sont-pas-toxiques-ils-sont-integres/', 'Tomer Strolight (2021). Toxicity, Integrity, & Maximalism in Bitcoiners are Not Toxic - They Have Integrity.': 'https://www.youtube.com/watch?v=5OOFP5HRogA'}
12	Contre-culture	2. Bitcoin maximalisme	Niveau 3	{'Pete Rizzo (2021).\xa0 Bitcoin Maximalism Is Dead, Long Live Bitcoin Maximalism. Forbes': 'https://www.forbes.com/sites/peterizzo/2022/07/04/bitcoin-maximalism-is-dead-long-live-bitcoin-maximalism/?sh=1ebf6a8b182b', 'Michael Goldstein (2022).\xa0 The Original Toxic Maximalist. The Bitstein Brief': 'https://bitstein.substack.com/p/mises-the-original-toxic-maximalist'}
13	Mouvement de paix	1. Des  artisans  de paix	Niveau 1	{'Tomer Strolight (2020). 27. Pourquoi Bitcoin est un mouvement de paix ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-27-pourquoi-bitcoin-est-un-mouvement-de-paix/', 'Gigi (2021). Bitcoin is Love because it is completely voluntary.': 'https://twitter.com/dergigi/status/1602410025531703297?s=20&t=oz8AFxlzsXqbbqLCm9tvag', 'Tomer Strolight (2021). Bitcoin Is a Declaration of Peace': 'https://tomerstrolight.medium.com/bitcoin-is-a-declaration-of-peace-78204ba9cf9c', 'Tomer Strolight (2021). If You Love Freedom, the Earth and the Environment, Consider Becoming a Bitcoiner': 'https://tomerstrolight.medium.com/if-you-love-freedom-the-earth-and-the-environment-consider-becoming-a-bitcoiner-cb06dab09d53', 'Lawrence Lepard (2023). People left to their own devices will cheat... here’s a form of monetary economics you can’t cheat. The Bitcoin Matrix Podcast': 'https://twitter.com/_BitcoinMatrix/status/1610473423276503041?s=20', 'Nozomi Hayase (2023). When human beings are allowed to act out of love they produce a lot of valuable things in the world. The Bitcoin Matrix Podcast': 'https://twitter.com/CedYoungelman/status/1627487282713223170?s=20'}
14	Mouvement de paix	1. Des  artisans  de paix	Niveau 2	"{'J. Vallis (2021). ""Renaissance"" comes from a recognition that this can be the foundation for sthing amazing..."" in Bullish on Bitcoiners. The Bitcoin Matrix': 'https://youtu.be/xqqLVXSSGuo?t=1824'}"
15	Mouvement de paix	2. Les  criminels agissent plus volontiers dans le système fiat	Niveau 1	"{""Bitcoin est la monnaie des criminels. N'ayez pas peur ! Déminons encore et toujours !"": 'https://btctouchpoint.com/fr/premiers-pas/n-ayez-pas-peur/#demin', ""N. Cantu (2023). 50% d'augmentation du blanchiment sur le fiat !"": 'https://twitter.com/nicolasCantuFR/status/1616483718432006146?s=20&t=sDaxwuX4m87oB5DscueJaQ', '20 minutes (2022). Compte bancaire : Les Français les plus escroqués en EU': 'https://m-20minutes-fr.cdn.ampproject.org/c/s/m.20minutes.fr/amp/a/4013086', 'Dutch government’s Scientific Research and Documentation Center (2022). Criminals are hesitant of using bitcoin and prefer using legacy systems.': 'https://twitter.com/m__btc/status/1605456478651006977?s=20&t=aXX46wD8H_AKrYUvy7KXLQ', 'S. Hodder (2023). In 2022, banks paid $1.8T in fines: all this reg. attention on Crypto is a LARP considering our market cap is only half of their annual fines': 'https://twitter.com/sashahodler/status/1620439402035187712?s=20&t=d7SCJRENxIeCsGrA4Ip7Bg', 'Tomer Strolight (2021). 19. Pourquoi il ne faut pas avoir peur du bitcoin ?': 'https://btctouchpoint.com/pourquoi-bitcoin-19-pourquoi-il-ne-faut-pas-avoir-peur-du-bitcoin/'}"
16	Mouvement de paix	2. Les  criminels agissent plus volontiers dans le système fiat	Niveau 2	{'Thomas Semaan (2023). It is actually cash that is used to move money without traces. in The Ethics Of Mixing': 'https://bitcoinnews.com/the-ethics-of-mixing/', 'Lewis, Parker (2019). Bitcoin is Not for Criminals. Unchained Capital': 'https://unchained.com/blog/bitcoin-is-not-for-criminals/'}
17	Mouvement de paix	2. Les  criminels agissent plus volontiers dans le système fiat	Niveau 3	{'Morell, Michael (2021). An Analysis of Bitcoin’s Use in Illicit Finance': 'https://cryptoforinnovation.org/wp-content/uploads/2022/07/An-Analysis-of-Bitcoins-Use-in-Illicit-Finance-By-Michael-Morell.pdf'}
36	Integrité	1. Bitcoin adresse le problème de la confiance	Niveau 1	"{'Jimmy Song (2022). Good times create lots of trust...which gets abused and create need for verification.': 'https://twitter.com/jimmysong/status/1597249985414041602?s=20&t=10DlloATVS8s-cFcxwAx8A', 'Tuur Demeester (2022). ""Keep Your Community Safe, DEMAND Proof-of-Keys!""': 'https://twitter.com/TuurDemeester/status/1590102708039471105?s=20&t=1LlIbQNEGtMURzFidpaQxQ', 'Americanhodl3 (2022). Bitcoin is rational optimism.': 'https://twitter.com/dergigi/status/1589941902719463426?s=20&t=ApmAfHfD2FmeeoaCQCdCTw'}"
37	Integrité	1. Bitcoin adresse le problème de la confiance	Niveau 2	{'Atistophanes (2023). The bank run on trust. Bitcoin Magazine': 'https://btctouchpoint.com/wp-content/uploads/2023/02/bitcoin-magazinethe-bank-run-on-trust.pdf', 'Tomer Strolight (2021). Bitcoiners are Not Toxic - They Have Integrity.': 'https://tomerstrolight.medium.com/bitcoiners-are-not-toxic-they-have-integrity-bd866d2773e9', 'Tomer Strolight (2021). Toxicity, Integrity, & Maximalism in Bitcoiners are Not Toxic - They Have Integrity.': 'https://www.youtube.com/watch?v=5OOFP5HRogA', 'Tomer Strolight (2021). Sound Money and Sound Art — The Common Denominator is Integrity': 'https://tomerstrolight.medium.com/sound-money-and-sound-art-the-common-denominator-is-integrity-a53f3b53103'}
38	Integrité	1. Bitcoin adresse le problème de la confiance	Niveau 3	"{'Gigi (2022). How Was the Trust Problem Solved in Cryptography is Not Enough - Baltic Honeybadger 2022': 'https://www.youtube.com/watch?v=C7ynm0Zkwfk&t=1140s', 'John Vallis and BB (2021). First Hand Account of a \'Bitcoin Transformation (38""). Bitcoin Rapid Fire': 'https://www.youtube.com/watch?v=wzngK-zgt7o&list=PL8GxRkxnvMl0SI_-85UNfxXRo8rQJqIHU&t=2280s', 'Vallis, Breedlove, Cason, et AmericanHodl (2023). ""The Function Of ‘Truth’ & Trying To Align With It"" in Hodl Hang #8: The Banking Crisis, $1M Bitcoin Bet, Nostr, The Future of Politics & More': 'https://www.youtube.com/watch?v=jfvizZd3LUM&t=2110s'}"
39	Responsabilité	1. Le système Fiat  décourage les comportements responsables	Niveau 1	{'R. Breedlove et J. Peterson (2022). Inflation penalizes prudence, rewards non-productive roles': 'https://twitter.com/Breedlove22/status/1605252228872290305?s=20&t=9uZbtaUbVYqClCE51o6htQ', 'Gigi (2023). Bitcoin Forces You to Take Responsibility': 'https://twitter.com/SwanBitcoin/status/1624035067302408193'}
40	Responsabilité	1. Le système Fiat  décourage les comportements responsables	Niveau 2	{'Marty Bent (2023). Issue #1335: We live in an era bereft of accountability': 'https://tftc.io/martys-bent/issue-1335/', 'TIP_NZ (2022). Exit the Cantillionaires Game with Bitcoin': 'https://twitter.com/tip_nz/status/1598374379490246656?s=20'}
41	Responsabilité	1. Le système Fiat  décourage les comportements responsables	Niveau 3	{'J. B. Peterson (2022). Inflation Penalizes Prudence and, In Doing So, Destroys Civilization in Bitcoin as an Incorruptible System of Value. WiM': 'https://www.youtube.com/watch?v=FQlA-I7PXf0&t=4419s'}
42	Responsabilité	2. Bitcoin récompense la  responsabilité et le  mérite	Niveau 1	{'R. Breedlove et J. Peterson (2022). Inflation penalizes prudence, rewards non-productive roles': 'https://twitter.com/Breedlove22/status/1605252228872290305?s=20&t=9uZbtaUbVYqClCE51o6htQ', 'Gigi (2023). Bitcoin Forces You to Take Responsibility': 'https://twitter.com/SwanBitcoin/status/1624035067302408193', 'Marty Bent (2023). Bitcoin is a forcing function for accountability': 'https://twitter.com/MartyBent/status/1650615163547004929'}
43	Responsabilité	2. Bitcoin récompense la  responsabilité et le  mérite	Niveau 2	"{'Value4Value (2022). Way of Life': 'https://value4value.info/pieces/way-of-life/', 'R. Breedlove (2023).Importance of Responsibility That Comes With Ownership in Here for the Truth on Money and Bitcoin': 'https://www.youtube.com/watch?v=S6oKGvhMxF8&t=1580s', 'Richard Reel and John Vallis (2023).On the role and responsibility of rituals on a bitcoin standard. John Vallis Bitcoin Rapid-Fire': 'https://www.youtube.com/watch?v=8vJCub3Lvgc&t=2765s', ""Marty Bent (2023). Take on the burden now so our children don't have to."": 'https://tftc.io/martys-bent/issue-1343/', 'Jimmy song (2022). Fiat Knowledge: Only Bitcoin Creates A Culture That Rewards Verification. Bitcoin Songsheet #17': 'https://www.youtube.com/watch?v=30y-HAgO9kg'}"
44	Responsabilité	2. Bitcoin récompense la  responsabilité et le  mérite	Niveau 3	{'Willem Van Den Bergh (2021). The (ir)relevance of experts: top-down versus bottom-up information flow': 'https://medium.com/@willemvandenbergh_85885/the-ir-relevance-of-experts-top-down-versus-bottom-up-information-flow-428bd5005d88', 'Jordan B Peterson (2022). Inflation Penalizes Prudence and, In Doing So, Destroys Civilization in Bitcoin as an Incorruptible System of Value. WiM': 'https://www.youtube.com/watch?v=FQlA-I7PXf0&t=4419s'}
45	Liberté	Liberté  et souveraineté individuelle	Niveau 1	"{""Michael Saylor (2022) - Bitcoin will never die as long as there's one person alive in this world that yearns for freedom. The Bitcoin Matrix Podcast"": 'https://twitter.com/CedYoungelman/status/1612934010233053186', 'US Sen. Cynthia Lummis (2023). Bitcoin allows individuals their own sovereignty and to implement and use and secure their own values as Americans.': 'https://twitter.com/BitcoinMagazine/status/1660241461445574657', 'Tomer Strolight (2021). 3. Pourquoi choisir Bitcoin ?': 'https://btctouchpoint.com/fr/3-pourquoi-choisir-bitcoin/', 'Friedrich Hayek (1976) - What we now need is a Free Money Movement comparable to the Free Trade Movement of the 19th century.': 'https://twitter.com/TuurDemeester/status/1614293975254310912?s=20&t=_IDwrZoY_CBjxxhPfNIHVw', 'A. Stachtchenko (2022). Bitcoin comme source de liberté - Quel avenir pour Bitcoin ? Liber-Thé': 'https://www.youtube.com/watch?v=qDRqbG-VLDM&t=1147s', 'Yorick de Mombynes (2021). Bitcoin et la liberté. Liber-thé': 'https://www.liber-the.com/yorick-de-mombynes/', 'Reason TV (2021). Cypherpunks Write Code': 'https://www.youtube.com/watch?v=9vM0oIEhMag&t=2s'}"
46	Liberté	Liberté  et souveraineté individuelle	Niveau 2	"{'Yorick de Mombynes (2022). Les Libéraux et le Bitcoin. Cercle Frédéric Bastiat': 'https://www.youtube.com/watch?v=a-72AAuHU-o', ""Alex Gladstein (2022) - Bitcoin is a Trojan Horse for freedom dressed up as a 'get-rich-quick scheme'. Lex Fridman Podcast"": 'https://twitter.com/DocumentingBTC/status/1564590523092008961?s=20&t=GPDGgbQZ-mUXHPyD7NZIDQ', 'Odell (2023) - Bitcoin is Freedom money': 'https://twitter.com/PrinceySOV/status/1618897103996207104?s=20&t=KR0TdMxK-ri2Z7ZOsDYQQg', 'Jordan B Peterson (2023) - ""You have the right to free speech so you have the opportunity to pursue Truth"" in Bitcoin as an Incorruptible System of Value with Jordan Peterson (WiM168)': 'https://www.youtube.com/watch?v=FQlA-I7PXf0&t=3851s', 'Gigi (2023) - Freedom Money - Episode 1. Bitcoin Magazine': 'https://www.youtube.com/watch?v=6Tr4-DL1c1s', 'Gigi (2022) - A cashless society is an unfree society.': 'https://twitter.com/dergigi/status/1561931521702985728?s=20&t=OQymrDIXCxCAvQAZi_NH8w', 'N. Smolenski (2022) - The Path of Freedom and Sovereignty. What Bitcoin Did': 'https://www.youtube.com/watch?v=qNkK16kop_s', 'Thomas Fahrer (2023). Bitcoin and the Marketplace of Ideas: How Bitcoin Embodies Free Speech': 'https://learn.heyapollo.com/blog/bitcoin-and-the-marketplace-of-ideas-how-bitcoin-embodies-free-speech', ""Eric Voskuil (2023) - Don't dismiss free banking!"": 'https://twitter.com/evoskuil/status/1640842616853110786?s=20', 'Brian Roemmele (2021) - The declaration of Individual Ownership.': 'https://twitter.com/BrianRoemmele/status/1464487328244649989?s=20', ""Croesus (2023) - The cynical view of where worldwide policy decisions are actually made: the org chart you've never seen."": 'https://twitter.com/Croesus_BTC/status/1657016085823070209'}"
47	Liberté	Liberté  et souveraineté individuelle	Niveau 3	{'Parker Lewis (2020) - Bitcoin is a Rally Cry': 'https://unchained.com/blog/bitcoin-is-a-rally-cry/', 'Balaji (2023) - Reputation, regulation, and power.': 'https://twitter.com/balajis/status/1658657270119686144'}
72	Arts	1. Déclin de l'expression artistique sous le régime fiat ?	Niveau 1	"{'Saifedean Ammous (2022). How high-time preference [...] ruins our world': 'https://twitter.com/cornstax/status/1578073066495774720?s=20&t=M3el7zjZHlTk4VkO4S26Ew', 'Pig0unette (2022). The most accurate IQ bell curve meme ever made. Classic.': 'https://twitter.com/pig0unette/status/1575408490327281666?s=20', ""WalterKühl (2022). On réalise tôt ce que l'on avait et que l'on a perdu..."": 'https://twitter.com/waltercool11/status/1598728166998249472?s=20&t=Wjt4T7kl81a57_ZHvwEyqA', 'Daniel Prince (2022). Arrivèrent ensuite les artistes diplômés...': 'https://twitter.com/PrinceySOV/status/1599508761466769408?s=20&t=_li5aB5VcVPjHgyj-macHg', 'Dr Bitcoin MD (2023). Culture, art, and beauty have disintegrated over time this is a product of the global fiat monetary system, untethered from energy': 'https://twitter.com/DrBitcoinMD/status/1614342683446894592?s=20', 'The Best (2023). Most fashion shows these days...': 'https://twitter.com/Figensport/status/1667621403770617858?s=20'}"
73	Arts	1. Déclin de l'expression artistique sous le régime fiat ?	Niveau 2	{'Jimmy Song (2022). Bitcoin songsheet: How fiat debased art. BM': 'https://bitcoinmagazine.com/culture/bitcoin-songsheet-fiat-art'}
74	Arts	2. Assisterons-nous à une renaissance de l'art sous un étalon-Bitcoin?	Niveau 1	"{'RyanZacMusic (2022). Composing this Renaissance 2.0... was made possible by the freedom provided me by Bitcoin...': 'https://twitter.com/RyanZakMusic/status/1600608084485091330?s=20&t=ysFneoj76YHTx3ywOlUPFw', 'RyanZacMusic (2023). Bitcoin low time preference leads to beauty, abundance, joy, and art that is the result of passion, potential and talent finally set free to create...': 'https://twitter.com/RyanZakMusic/status/1611631411928367104?s=20&t=QOZtSNvqk7fEF1CX6_ljrg', 'FractalEncrypt (2021). The Bitcoin Full Node Sculpture, A Cypherpunk Chronometer.': 'https://twitter.com/FractalEncrypt/status/1376613935403655173?s=20&t=qdQ_ON16Z7Kws5B3X7srCw', ""Mason (2023). It's a beautiful day. Stay Humble"": 'https://twitter.com/QuaceTheQuant/status/1608548602263085057?s=20&t=JaeFdyHeCEPnT-ma0MRerA', 'Ludo (2023). Bitcoin in Paris. Bonjour tout le monde !': 'https://twitter.com/BTC_Archive/status/1620807973290512384?s=20&t=zUFvvIzqv7W5sK9VuMosqA'}"
75	Arts	2. Assisterons-nous à une renaissance de l'art sous un étalon-Bitcoin?	Niveau 2	{'Stephen Chow (2020). The Art of Funding Art - The Chow Art Fund Collection. Empathyfilms Productions': 'https://www.youtube.com/watch?v=ocwGFLyaal4', 'Tomer Strolight (2021). Sound Money and Sound Art — The Common Denominator is Integrity': 'https://tomerstrolight.medium.com/sound-money-and-sound-art-the-common-denominator-is-integrity-a53f3b53103', 'La révolution sera artistique. Découvre Bitcoin': 'https://decouvrebitcoin.fr/thematique/artiste/', 'Bitcoin Apex (2022). After almost 210 hours, my drawing Bitcoin Manifesto at block time 743174 is now complete': 'https://twitter.com/bitcoin__apex/status/1543983916457017347?s=20&t=2uHHfevjTceCN693qSBgyg', 'Aleks Svetski (2023). Beauty in The UnCommunist Manifesto, Shifting Focusses, & The Pace of Bitcoin Adoption': 'https://www.youtube.com/watch?v=QzxUR8Ck8lI&t=3420s'}
76	Arts	2. Assisterons-nous à une renaissance de l'art sous un étalon-Bitcoin?	Niveau 3	{'Stephen Chow (2023). Chow Art Fund  \xa0and  account': 'https://chowartfund.wordpress.com/', 'Roger Scruton (2017). The True, the Good and the Beautiful': 'https://www.youtube.com/watch?v=10PG8VZiZaQ'}
77	Architecture	1. Abandon de l'architecture traditionnelle sous l'ère fiat	Niveau 1	"{'J. Vallis (2022). What you seek to elevate or celebrate w/ your labour & resources, is of the utmost consequence, in terms of what you ultimately create.': 'https://twitter.com/johnkvallis/status/1603052176393347072?s=20&t=jmotWOcSCjUbxDt6l8kksQ', 'S. Ammous (2022). How high-time preference ruins our world...': 'https://twitter.com/cornstax/status/1578073066495774720?s=20&t=M3el7zjZHlTk4VkO4S26Ew', 'S. Ammous (2022). The world would have a lot less land wasted on roads if road builders were only private entities that had to pay market price for land.': 'https://twitter.com/saifedean/status/1619705038917734409?s=20&t=Nj1B6lNYGPyn2To-V-3cew', 'Tuur Demeester (2022). If our recent ancestors knew how to nurture Stability, Utility, and Beauty, it means I as well can learn that': 'https://twitter.com/TuurDemeester/status/1608951527846313988?s=20&t=_sBBFip1EF43vxybeXyrEA', 'Culture Critic (2023). Why do they do this to us?': 'https://twitter.com/Culture_Crit/status/1656407268315787264', 'Tuur Demeester (2023). Natural vs. artificial bank rates': 'https://twitter.com/TuurDemeester/status/1642846557241327617?s=20', ""Jeremy Wayne Tate (2023). Why can't we build what they built? Because we don't believe what they believed. It's not an issue of technical ability."": 'https://twitter.com/JeremyTate41/status/1638014828928221184'}"
78	Architecture	1. Abandon de l'architecture traditionnelle sous l'ère fiat	Niveau 2	{'Michael Diamant (2022). Fiat Architecture. The Bitcoin Standard Podcast': 'https://www.youtube.com/watch?v=qK_oXJxSCuw', 'The Cultural Tutor (2022). Why has traditional architecture... disappeared?': 'https://twitter.com/culturaltutor/status/1604333194869981184?s=20&t=6cRpQyEqeJ9uI53Z8_d6cA', 'The Cultural Tutor (2022). Why did the USA do this to its cities?': 'https://twitter.com/culturaltutor/status/1619450864607059968?s=20&t=ma2rVDTSv9y8uvRt9lPwlg', 'The Cultural Tutor (2022). Skyscrapers used to be Art Deco and neo-Gothic...': 'https://twitter.com/culturaltutor/status/1612764414033399808?s=20&t=eBEMYMp4zOGOh_0RvvyJ2Q', 'Roger Scruton (2015). Architecture and Aesthetic Education': 'https://www.youtube.com/watch?v=FJrCn-y16Vs'}
